location,total_sqft,bath,balcony,price,bhk,price_per_sqft
1st Block Jayanagar,1630.0,3.0,2.0,194.0,3,11901.840490797545
1st Block Jayanagar,1200.0,6.0,2.0,125.0,6,10416.666666666666
1st Block Jayanagar,1000.0,3.0,2.0,60.0,2,6000.0
1st Block Jayanagar,1200.0,2.0,0.0,130.0,3,10833.333333333334
1st Block Jayanagar,1235.0,2.0,2.0,148.0,2,11983.805668016194
1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2,8635.097493036212
1st Phase JP Nagar,840.0,2.0,2.0,50.0,1,5952.380952380952
1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3,8238.993710691824
1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,7500.0
1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2,6097.5609756097565
1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2,7053.941908713693
1st Phase JP Nagar,900.0,2.0,1.0,75.0,2,8333.333333333334
2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3,3500.0
2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,900.0,2.0,2.0,41.0,2,4555.555555555556
2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3,4104.699583581201
2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
2nd Stage Nagarbhavi,1200.0,4.0,2.0,245.0,4,20416.666666666668
2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5,20000.0
2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4,18750.0
2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5,20000.0
2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5,20000.0
2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5,20000.0
2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5,20000.0
